Date,Customer,Metal,Code,Quantity,Unit Price,Total Price
5/17/2022,360 Coin Group DBA South Austin Coin Exchange,Gold,2019ALHRSP70,2.0,"$2,300.00","$4,600.00"
1/6/2022,Dorian Leboeuf,Gold,G.10POLAR,10.0,$191.50,"$1,915.00"
10/6/2022,Stamps Unlimited Inc.,Gold,G100COR,59.0,"$1,693.00","$99,887.00"
8/11/2022,Dillon Gage Inc. of Dallas,Gold,G100COR,29.0,"$1,755.00","$50,895.00"
12/9/2022,Dillon Gage Inc. of Dallas,Gold,G100COR,200.0,"$1,759.40","$351,880.00"
12/9/2022,Coins 'N Things,Gold,G100COR,150.0,"$1,758.47","$263,770.50"
7/20/2022,APMEX Inc.,Gold,G100COR,41.0,"$1,677.72","$68,786.52"
7/20/2022,Dillon Gage Inc. of Dallas,Gold,G10GUILD,75.0,$330.55,"$24,791.25"
12/9/2022,Gleyzer International Inc,Gold,G10KRON,1.0,$250.00,$250.00
10/13/2022,In God We Trust Coins,Gold,G10MC,1.0,$830.00,$830.00
6/14/2022,Bayside Metal Exchange,Gold,G10MC,13.0,$886.90,"$11,529.70"
8/30/2022,National Coin (MN),Gold,G10MC,5.0,$851.75,"$4,258.75"
8/5/2022,National Coin (MN),Gold,G10MC,2.0,$876.50,"$1,753.00"
5/3/2022,Upstate Coins,Gold,G10MC,18.0,$903.25,"$16,258.50"
8/22/2022,National Coin (MN),Gold,G10MC,2.0,$856.30,"$1,712.60"
12/5/2022,In God We Trust Coins,Gold,G10MC,1.0,$875.50,$875.50
8/1/2022,Upstate Coins,Gold,G10MC,3.0,$864.25,"$2,592.75"
12/9/2022,Gleyzer International Inc,Gold,G10ROUB,2.0,$560.00,"$1,120.00"
11/7/2022,"River City Pawn and Gun, LLC",Gold,G10YAUSM,1.0,$192.50,$192.50
2/8/2022,"Silver Gold Bull., Inc.",Gold,G10YAUSM,100.0,$220.00,"$22,000.00"
2/7/2022,Great Collections.com,Gold,G10YAUSM,50.0,$225.00,"$11,250.00"
12/19/2022,"River City Pawn and Gun, LLC",Gold,G10YAUSM,18.0,$198.50,"$3,573.00"
4/19/2022,Sam Sloat Coins Inc.,Gold,G10YAUSM,100.0,$225.00,"$22,500.00"
12/8/2022,360 Coin Group DBA South Austin Coin Exchange,Gold,G15WAMLIBHR,1.0,"$2,150.00","$2,150.00"
1/4/2022,360 Coin Group DBA South Austin Coin Exchange,Gold,G15WAMLIBHR,1.0,"$2,250.00","$2,250.00"
12/8/2022,Upstate Coins,Gold,G15WAMLIBHR,1.0,"$2,064.12","$2,064.12"
3/22/2022,360 Coin Group DBA South Austin Coin Exchange,Gold,G15WAMLIBHR,3.0,"$2,350.00","$7,050.00"
7/7/2022,360 Coin Group DBA South Austin Coin Exchange,Gold,G15WAMLIBHR,1.0,"$2,500.00","$2,500.00"
7/10/2022,Upstate Coins,Gold,G15WAMLIBHR,1.0,"$1,990.96","$1,990.96"
7/10/2022,Upstate Coins,Gold,G15WAMLIBHR,2.0,"$2,040.96","$4,081.92"
10/25/2022,"Precious Metal Sales, Inc.",Gold,G1DUC,5.0,$195.00,$975.00
1/7/2022,Numismatic Treasures Ltd.,Gold,G1DUC,2.0,$205.37,$410.74
8/16/2022,Numismatic Treasures Ltd.,Gold,G1DUC,13.0,$206.40,"$2,683.20"
2/15/2022,Numismatic Treasures Ltd.,Gold,G1DUC,20.0,$214.00,"$4,280.00"
2/15/2022,Money Metals Exchange LLC,Gold,G1DUC,17.0,$217.40,"$3,695.80"
3/29/2022,Numismatic Treasures Ltd.,Gold,G1DUC,5.0,$219.80,"$1,099.00"
4/11/2022,Numismatic Treasures Ltd.,Gold,G1DUC,6.0,$225.00,"$1,350.00"
12/8/2022,360 Coin Group DBA South Austin Coin Exchange,Gold,G2008BUFFPFC1.85,1.0,"$7,100.00","$7,100.00"
6/13/2022,Capstone Acquisitions,Gold,G20FA,15.0,$357.60,"$5,364.00"
3/1/2022,Gold Rush Mercantile & Trading,Gold,G20FMIX,8.0,$373.85,"$2,990.80"
4/19/2022,Capstone Acquisitions,Gold,G20FMIX,40.0,$378.25,"$15,130.00"
5/2/2022,Money Metals Exchange LLC,Gold,G20FMIX,40.0,$361.60,"$14,464.00"
7/29/2022,Heritage Capital Corporation,Gold,G20FN,83.0,$343.50,"$28,510.50"
8/8/2022,Dorian Leboeuf,Gold,G20FR,1.0,$350.00,$350.00
11/23/2022,Heritage Capital Corporation,Gold,G20FR,113.0,$338.10,"$38,205.30"
